Code,Message,,,,
STH00013,"Xin chúc công ty ngày càng vững mạnh, ngày càng uy tín trên thị trường logistics Việt Nam v",,,,
STL00024,Chúc mừng sinh nhật SOTRANS,,,,
STL00296,"Chúc mừng Sotrans 50 năm, một hành trình đáng tự hào.Chúc Sotrans tiếp tục rạng rỡ ở chặng đường tới",,,,
STL00712,"Chúc công ty thêm tuổi mới, thêm thành công, thêm cơ hội và thêm những bước tiến vững chắc!",,,,
STL00480,HPBD,,,,
STL00607,Mừng sinh nhật lần thứ 50 của công ty. Hy vọng SOTRANS sẽ phát triển hơn nữa trong tương lai.,,,,
SWC00668,"Kính chúc công ty sẽ ngày phát triển mạnh mẽ, tiếp tục có những bước đi thật vững chắc.",,,,
STL00693,Công ty sinh nhật vui vẻ 🥳,,,,
STL00050,Chúc mừng Sotrans Group tròn 50 tuổi! Mong công ty của chúng ta ngày càng phát triển vững bền.,,,,
STL00711,"Kính chúc CTY tiếp tục giữ vững vị thế, k ngừng đổi mới và tỏa sáng trên thị trường trong nước và QT",,,,
STL00022,Vạn sự tốt lành. Vạn điều hanh thông,,,,
STH00054,Chúc mừng sinh nhật SOTRANS,,,,
VTX00132,Sotrans 50 năm,,,,
STL00269,Quan hệ kinh doanh của chúng ta là cảm hứng và độc đáo. Chúc c.ty càng ngày phát triển và lớn mạnh.,,,,
STH00048,Tiếp tục phát triển bền vững cho 50 tiếp theo.,,,,
STL00458,chuc mung sinh nhat,,,,
STL00430,Chúc cho công ty làm ăn thật phát đạt. Ngày càng lớn mạnh và tăng trưởng vượt bậc.,,,,
STL00340,"Chúc STG phát triển lớn mạnh, thành công. Anh chị em đồng nghiệp mạnh khỏe, bình an!",,,,
STL00690,Chúc mừng sinh nhật công ty Sotrans một tuổi mới ngày càng phát triển và đi lên,,,,
STH00009,"Chúc Sotrans ngày càng phát triển lớn mạnh, trở thành đầu tàu trong ngành Logistics !!!",,,,
STL00758,HAPPY BIRTHDAY,,,,
STL00496,"CHÚC CÔNG TY ĂN NÊN LÀM RA, SỐNG LÂU MẤY TRĂM TUỔI KKK",,,,
STL00007,"Chúc Sotrans thêm một tuổi mới thật nhiều bứt phá, giữ vững tinh thần đoàn kết và vươn xa hơn nữa!",,,,
STL00068,"Chúc mừng Sotrans Logistics 50 năm thành công rực rỡ, vững bước tương lai, vươn xa thế giới.”",,,,
STL00635,Happy birthday,,,,
STL00434,"MỪNG SINH NHẬT CTY, CHÚC CTY ĂN NÊN LÀM RA, DOANH THU HƠN 1000 TỶ",,,,
STH00062,"Chúc Sotrans Group ngày một vững mạnh, tiến bước không ngừng và gặt hái được những thành quả to lớn",,,,
STL00740,HAPPY BIRTDAY STG,,,,
STL00006,"CHÚC CTY LUÔN PHÁT ĐẠT, NHÂN VIÊN LUÔN HẠNH PHÚC TRONG CUỘC SỐNG",,,,
STL00666,Chúc Sotrans ngày càng phát triên và lớn mạnh nhé,,,,
STH00053,"Chúc Công ty ngày càng thành công, phát triển nhanh, thần tốc, bền vững.",,,,
STL00755,"CUNG HỈ PHÁT TÀI, TIỀN VÔ NHƯ NƯỚC",,,,
STL00513,"CHÚC MỪNG SINH NHẬT SOTRANS ""GHÉP ĐÔI""",,,,
STL00008,Chúc mừng 50 năm sinh nhật Sotrans Group luôn thành công và phát triển vững mạnh.,,,,
STL00678,Chúc mừng sinh nhật STG. Chúc ngày càng phát triển và vươn xa hơn nữa,,,,
STL00493,MỪNG SINH NHẬT CÔNG TY LẦN THỨ 50,,,,
STL00027,Chúc mừng sinh nhật SOTRANS,,,,
STL00640,"Chúc mừng sinh nhật công ty 50 năm, chúc công ty ngày càng vững mạnh đạt nhiều thành tựu.",,,,
VTX00281,"Chúc STG ngày càng phát triển vững mạnh,gặt hái thành công và giữ vững vị thế tiên phong trong ngành",,,,
STL00036,Happy Birthday SOTRANS,,,,
STH00071,"Thêm một tuổi mới, chúc SOTRANS luôn vững bước và gặt hái nhiều thành công!",,,,
STL00037,Chúc mừng sinh nhật SOTRANS,,,,
STL00038,Chúc mừng sinh nhật SOTRANS,,,,
STL00608,Chúc mừng sinh nhật,,,,
STL00306,20 năm của tôi trong 50 năm Sotrans và còn nữa,,,,
STL00765,"Mừng Sotrans được 50 năm hoạt động, chúc Sotrans những năm tiếp theo sẽ phát triển thịnh vượng hơn.",,,,
STH00017,happy birthday,,,,
STL00641,"Chúc mừng sinh nhật đại gia đình Sotrans, chúc Sotrans phát triển vững mạnh, tăng trưởng vượt bậc",,,,
STH00064,CHÚC SOTRANS PHÁT TRIỂN BỀN VỮNG VÀ CÓ NHIỀU ĐỘT PHÁ VƯƠN TẦM THẾ GIỚI,,,,
STL00283,Cùng cả nước đón mừng sinh nhật Sotrans 1975-2025,,,,
STH00007,Chúc mừng kỷ niệm 50 năm thành lập Công ty CP Kho vận miền Nam. Chúc công ty ngày càng lớn mạnh,,,,
